"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","BP","GO:0043062","extracellular structure organization","34/1031","302/21306",4.43027013880707e-06,0.000432724788471596,0.000348369582438318,"Mkx/Spint2/Pxdn/Bcl3/Myh11/Col4a1/Csgalnact1/Pdpn/Antxr1/Serpinh1/Tnfrsf1a/Fbln2/Gpm6b/Ddr2/Col1a2/Ccn1/Adamts5/Sh3pxd2b/Col4a3/Scara3/Ptx3/Nid1/Adamtsl2/Mmp14/Adamts1/Loxl2/Ccn2/Col17a1/Adamts9/Col24a1/Ctss/Mfap4/Pmp22/Crispld2",34
"GO:0010977","BP","GO:0010977","negative regulation of neuron projection development","24/1031","176/21306",4.47903748849266e-06,0.000432724788471596,0.000348369582438318,"Adcy6/Spock1/Efemp1/Sema4g/Nlgn1/Ngef/Sema5b/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Slit1/Sema6c/Prag1/Sema3d/Vim/Fstl4/Epha3/Thy1/Rap1gap2/Sema6a/Apoe/Pmp22",24
"GO:0048839","BP","GO:0048839","inner ear development","27/1031","213/21306",4.76307560444565e-06,0.000451799371425326,0.000363725773430395,"Triobp/Mycn/Bdnf/Dchs1/Ccm2/Ush2a/Insig1/H2-K1/Ptk7/Cdh1/Cys1/Fzd2/Igfbp7/Tmie/Dll1/Hey1/Cebpd/Maf/Lgr5/Mycl/Frzb/Bmp2/Bmp4/Gabra5/Slc9a3r1/Sox2/Hpca",27
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","43/1031","428/21306",5.14770327115537e-06,0.000472575460113158,0.000380451779274538,"Fgf2/Bmp7/Kitl/Plekhg5/Mef2c/Rhoj/Ptprr/Itga3/Kank2/Acta2/Sema4g/Tns1/Anxa6/Sema5b/Enpp2/Hmox1/Akap12/Ddr2/Gadd45a/Sema6c/Arsb/Apoh/Jcad/Marveld3/Dnaja4/Dcn/Cd63/Sema3d/Ptgs2/Loxl2/Adamts9/Nr4a1/Gja1/Anxa1/Ccbe1/Sox8/Bmp4/Sema6a/Apoe/Epha2/Pmp22/Itgb7/Glipr2",43
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","22/1031","154/21306",5.1632741472973e-06,0.000472575460113158,0.000380451779274538,"Ldlr/Mycn/Csf1/Nf2/Etv5/Efemp1/Rnf112/Ptprz1/Serpine2/Idh2/Enpp2/Dusp15/Egr2/Vim/Trf/Bmp2/Gpr183/Lif/Tspo/Sox8/Bmp4/Pmp22",22
"GO:0060485","BP","GO:0060485","mesenchyme development","32/1031","281/21306",6.61253030688246e-06,0.000594785700189755,0.000478838401532868,"Bmp7/Kitl/Mef2c/Dchs1/Spred2/Rxra/Sema4g/Rbm24/Spred3/Anxa6/Sema5b/Ptk7/Pdpn/Trim62/Erbb3/Sema6c/Hey1/Sema3d/Frzb/Bmp2/Epha3/Wnt7b/Sfrp1/Loxl2/Tead1/Wnt16/Gja1/Sox8/Bmp4/Zfp36l1/Sema6a/Glipr2",32
"GO:0043583","BP","GO:0043583","ear development","29/1031","243/21306",7.14904505583612e-06,0.000628559649760235,0.000506028470192253,"Triobp/Mycn/Bdnf/Dchs1/Ccm2/Ush2a/Insig1/H2-K1/Ptk7/Cdh1/Cys1/Fzd2/Igfbp7/Tmie/Dll1/Hey1/Cebpd/Maf/Lgr5/Eya4/Shroom2/Mycl/Frzb/Bmp2/Bmp4/Gabra5/Slc9a3r1/Sox2/Hpca",29
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","46/1031","477/21306",7.22897814560362e-06,0.000628559649760235,0.000506028470192253,"Fgf2/Pde4d/Cacna1g/Slc24a1/Adrb1/Cnga1/Wfs1/Gstm7/Adra1a/Nol3/Plcd1/Bnip3/Synpo/Anxa6/Dbi/Drd1/Psen2/Jak3/Nmur2/Gpr3/Atp7b/Ccr9/Fzd2/Cxcl10/Stc2/Adm/Nos1/Gnb1/Mettl21c/Mcub/Npy1r/Trpc7/Thy1/Ackr4/Gja1/Lpar6/Ccl2/Bmp4/Ackr3/Atp1a2/Jsrp1/F2rl3/Gpr157/Tgm2/Fzd9/Apoe",46
"GO:0048608","BP","GO:0048608","reproductive structure development","46/1031","478/21306",7.63466510688554e-06,0.000652951604305277,0.000525665466375726,"Dhcr24/Bmp7/Kitl/Csmd1/Ncoa3/Dlx3/Spint2/Rarg/Dhh/Rxra/Vash2/Plcd1/Cebpb/Icam1/Nupr1/Serpine2/Rhobtb3/Ntrk1/Cd44/Plcd3/Cdh1/Socs3/Inhba/Zfp830/Htra1/Hey1/Ccn1/Adm/Gab1/Ptx3/Tyro3/Adamts1/Ptgs2/Wnt7b/Sfrp1/Lif/Lhb/Gja1/Fzd5/Ptgis/Anxa1/Sox8/Bmp4/Zfp36l1/Axl/Sox2",46
"GO:0055074","BP","GO:0055074","calcium ion homeostasis","47/1031","494/21306",8.24468951490162e-06,0.000693750729020028,0.000558511225203013,"Fgf2/Pde4d/Cacna1g/Slc24a1/Adrb1/Cnga1/Wfs1/Gstm7/Adra1a/Nol3/Plcd1/Bnip3/Synpo/Anxa6/Dbi/Drd1/Psen2/Jak3/Nmur2/Gpr3/Atp7b/Ccr9/Fzd2/Cxcl10/Stc2/Adm/Nos1/Gnb1/Mettl21c/Mcub/Npy1r/Trpc7/Fam20a/Thy1/Ackr4/Gja1/Lpar6/Ccl2/Bmp4/Ackr3/Atp1a2/Jsrp1/F2rl3/Gpr157/Tgm2/Fzd9/Apoe",47
"GO:0061458","BP","GO:0061458","reproductive system development","46/1031","482/21306",9.47730647719611e-06,0.000784811236373525,0.000631820431813074,"Dhcr24/Bmp7/Kitl/Csmd1/Ncoa3/Dlx3/Spint2/Rarg/Dhh/Rxra/Vash2/Plcd1/Cebpb/Icam1/Nupr1/Serpine2/Rhobtb3/Ntrk1/Cd44/Plcd3/Cdh1/Socs3/Inhba/Zfp830/Htra1/Hey1/Ccn1/Adm/Gab1/Ptx3/Tyro3/Adamts1/Ptgs2/Wnt7b/Sfrp1/Lif/Lhb/Gja1/Fzd5/Ptgis/Anxa1/Sox8/Bmp4/Zfp36l1/Axl/Sox2",46
"GO:0007613","BP","GO:0007613","memory","21/1031","149/21306",1.03977802131176e-05,0.000847581552684912,0.000682354326485841,"Ldlr/Adrb1/Csmd1/Drd4/Bdnf/Map1a/Itga3/Kalrn/Grm7/Drd1/Arc/Psen2/Rcan1/Ppp1r1b/Asic1/Ptgs2/Adcy1/Foxo6/Dbh/Ccnd2/Apoe",21
"GO:0010001","BP","GO:0010001","glial cell differentiation","29/1031","248/21306",1.06215117925059e-05,0.0008524988772539,0.000686313069669615,"Fgf2/Ldlr/Mycn/Stat3/Dtx1/Gap43/Sox4/Rnf112/Drd1/Ptprz1/Ndrg1/Serpine2/Enpp2/Nab1/Erbb3/Dusp15/Myrf/Egr2/Dll1/Vim/Bmp2/Nab2/Lif/Sox6/Sox8/Bmp4/Arhgef10/Gpr157/Pmp22",29
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","32/1031","291/21306",1.35990104945603e-05,0.0010610992103913,0.000854248933034972,"Fgf2/Dusp3/Mef2c/Drd4/Ndrg4/Ptprr/Igfbp5/Spint2/Stat3/Mif/Ptprt/Drd1/Il33/Idh2/Cdh1/Gadd45a/Apoh/Marveld3/Dnaja4/Mitf/Nbl1/Dcn/Cd63/Podn/Cnn2/Sfrp1/Adamts9/Thy1/Cd74/Gja1/Slc9a3r1/Apoe",32
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","31/1031","278/21306",1.39825993481057e-05,0.0010610992103913,0.000854248933034972,"Fgf2/Dusp3/Mef2c/Drd4/Ndrg4/Ptprr/Igfbp5/Stat3/Mif/Ptprt/Drd1/Il33/Idh2/Cdh1/Gadd45a/Apoh/Marveld3/Dnaja4/Mitf/Nbl1/Dcn/Cd63/Podn/Cnn2/Sfrp1/Adamts9/Thy1/Cd74/Gja1/Slc9a3r1/Apoe",31
"GO:0014706","BP","GO:0014706","striated muscle tissue development","43/1031","446/21306",1.43415086600304e-05,0.0010610992103913,0.000854248933034972,"Fgf2/Atf3/Bmp7/Adrb1/Mef2c/Nrap/Eya2/Myh14/Cacna1s/Bdnf/Sik1/Asb2/Rxra/Adra1a/Myo18b/Emd/Acta1/Rbm24/Nupr1/Myh11/Tll2/Erbb3/Rcan1/Egr2/Pim1/Dll1/Hey1/Maff/Bmp2/Mettl21c/Klhl41/Rarb/Adamts9/Nr4a1/Gja1/Sox6/Mapk11/Sox8/Bmp4/Myoz1/Foxh1/Megf10/Pmp22",43
"GO:0009584","BP","GO:0009584","detection of visible light","9/1031","32/21306",1.43686498916662e-05,0.0010610992103913,0.000854248933034972,"Tulp1/Grk1/Sema5b/Gnat1/Rho/Gnb1/Rs1/Gucy2f/Rpe65",9
"GO:0060669","BP","GO:0060669","embryonic placenta morphogenesis","9/1031","32/21306",1.43686498916662e-05,0.0010610992103913,0.000854248933034972,"Bmp7/Ncoa3/Spint2/Socs3/Ccn1/Adm/Wnt7b/Fzd5/Zfp36l1",9
"GO:0097485","BP","GO:0097485","neuron projection guidance","29/1031","252/21306",1.44408748203531e-05,0.0010610992103913,0.000854248933034972,"Slit3/Bmp7/Bdnf/Gfra3/Gap43/Unc5b/Alcam/Sema4g/Etv4/L1cam/Sema5b/Epha8/Ntrk1/Slit1/Plxnb2/Klf7/Dpysl4/Sema6c/Egr2/Dscam/Sema3d/Epha3/Wnt7b/Prtg/Ntn3/Zswim6/Sema6a/Tubb3/Epha2",29
"GO:1904062","BP","GO:1904062","regulation of cation transmembrane transport","37/1031","361/21306",1.48318844691234e-05,0.00107469362882523,0.000865193260698866,"Pde4d/Adrb1/Cbarp/Mef2c/Drd4/Gstm7/Nlgn2/Ahnak/Nol3/Kcnip2/Nlgn1/Rph3a/Dbi/Drd1/Arc/Psen2/Fgf11/Cxcl10/Stac/Dpp10/Cd63/Nos1/Rapgef3/Atp1b3/Mettl21c/Ptpn3/Shisa6/Thy1/Ccl2/Kcnj2/Bmp4/Atp1a2/Slc9a3r1/Jsrp1/F2rl3/Ctss/Hpca",37
"GO:0001754","BP","GO:0001754","eye photoreceptor cell differentiation","12/1031","58/21306",1.75218659121371e-05,0.0012522133488167,0.00100810735384898,"Nrl/Stat3/Tulp1/Cfh/Ppp2r3a/Sdk2/Gnat1/Rp1/Mfrp/Nr2e3/Thy1/Sox8",12
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","31/1031","282/21306",1.85614391976105e-05,0.00130858146343154,0.00105348708959411,"Fgf2/Pde4d/Cacna1g/Slc24a1/Adrb1/Cbarp/Slc25a25/Drd4/Cacna1s/Gstm7/Ahnak/Cacna1b/Nol3/Panx1/Cacna1e/Dbi/Drd1/Psen2/Cxcl10/Stac/Asic1/Rapgef3/Mettl21c/Mcub/Trpc7/Thy1/Bmp4/Atp1a2/Jsrp1/F2rl3/Hpca",31
"GO:0007409","BP","GO:0007409","axonogenesis","45/1031","481/21306",1.94511627684918e-05,0.00135302288217629,0.00108926511503554,"Slit3/Lrrc4b/Bmp7/Numbl/Dbn1/Bdnf/Map1a/Gfra3/Gap43/Unc5b/Tsku/Alcam/Sema4g/Kalrn/Etv4/L1cam/Sema5b/Nr4a2/Ptprz1/Arhgef28/Epha8/Ntrk1/Slit1/Plxnb2/Klf7/Bhlhe22/Sema6c/Egr2/Dscam/Sema3d/Vim/Fstl4/Epha3/Adcy1/Wnt7b/Prtg/Dcx/Thy1/Ntn3/Zswim6/Sema6a/Tubb3/Apoe/Epha2/Pmp22",45
"GO:0060537","BP","GO:0060537","muscle tissue development","44/1031","469/21306",2.24138771337348e-05,0.00153859469745651,0.00123866163107482,"Fgf2/Atf3/Bmp7/Adrb1/Mef2c/Nrap/Eya2/Myh14/Cacna1s/Bdnf/Sik1/Igfbp5/Asb2/Rxra/Adra1a/Myo18b/Emd/Acta1/Rbm24/Nupr1/Myh11/Tll2/Erbb3/Rcan1/Egr2/Pim1/Dll1/Hey1/Maff/Bmp2/Mettl21c/Klhl41/Rarb/Adamts9/Nr4a1/Gja1/Sox6/Mapk11/Sox8/Bmp4/Myoz1/Foxh1/Megf10/Pmp22",44
"GO:0045600","BP","GO:0045600","positive regulation of fat cell differentiation","13/1031","69/21306",2.29122631222353e-05,0.00155238021699612,0.00124975980666738,"Bmp7/Noct/Cebpb/Zbtb7c/Pim1/Medag/Sh3pxd2b/Zfp36/Frzb/Bmp2/Ptgs2/Sfrp1/Zfp36l1",13
"GO:0031345","BP","GO:0031345","negative regulation of cell projection organization","25/1031","207/21306",2.44585003776783e-05,0.00162854306067343,0.0013110754945042,"Adcy6/Spock1/Itga3/Efemp1/Sema4g/Nlgn1/Ngef/Sema5b/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Slit1/Sema6c/Prag1/Sema3d/Vim/Fstl4/Epha3/Thy1/Rap1gap2/Sema6a/Apoe/Pmp22",25
"GO:0042692","BP","GO:0042692","muscle cell differentiation","39/1031","398/21306",2.466070572996e-05,0.00162854306067343,0.0013110754945042,"Pld3/Adrb1/Mef2c/Nrap/Cacna1s/Bdnf/Sik1/Igfbp5/Rxra/Adra1a/Myo18b/Acta1/Rbm24/Myh11/Tnnt1/Chrnb1/Cxcl10/Olfm2/Rcan1/Ehd2/Dll1/Hey1/Tmod3/Adm/Cth/Mmp14/Bmp2/Wnt7b/Klhl41/Rarb/Flnc/Ntn3/Sox6/Bmp4/Il4ra/Myoz1/Megf10/Pmp22/Wfikkn2",39
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway","40/1031","414/21306",2.69238299805578e-05,0.00175577026260713,0.00141350107397929,"Atf3/Mllt11/Eya2/Wfs1/Bdnf/Mnt/Asah2/Nacc2/Unc5b/Nol3/Mif/Icam1/Timp3/Nupr1/Bnip3/Nr4a2/Psen2/Jak3/Trps1/Cd44/Hmox1/Tnfrsf22/Inhba/Meis3/Eya4/Steap3/Cth/Ptgs2/Ier3/Bmf/Pycard/Sfrp1/Inhbb/Cd74/Dbh/Bmp4/Ackr3/Acsl5/Slc9a3r1/Pmp22",40
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation","33/1031","316/21306",2.90192652225735e-05,0.00184927140999515,0.00148877514318184,"Pld3/Adrb1/Mef2c/Nrap/Cacna1s/Bdnf/Sik1/Igfbp5/Rxra/Adra1a/Myo18b/Acta1/Rbm24/Myh11/Tnnt1/Chrnb1/Cxcl10/Rcan1/Ehd2/Dll1/Tmod3/Mmp14/Bmp2/Klhl41/Rarb/Flnc/Ntn3/Sox6/Bmp4/Il4ra/Myoz1/Pmp22/Wfikkn2",33
"GO:0061138","BP","GO:0061138","morphogenesis of a branching epithelium","26/1031","222/21306",2.90665623192644e-05,0.00184927140999515,0.00148877514318184,"Fgf2/Bmp7/Csmd1/Ncoa3/Mycn/Csf1/Etv5/Spint2/Dchs1/Rxra/Etv4/Col4a1/Cd44/Cdh1/Socs3/Adm/Mmp14/Bmp2/Sfrp1/Fzd5/Pgf/Sox8/Bmp4/Tgm2/Epha2/Sox2",26
"GO:0060350","BP","GO:0060350","endochondral bone morphogenesis","12/1031","61/21306",2.99425663120935e-05,0.00188205263193002,0.00151516600615413,"Alpl/Mef2c/Rarg/Anxa6/Csgalnact1/Serpinh1/Nab1/Mmp14/Nab2/Rarb/Bmp4/Runx2",12
"GO:0072001","BP","GO:0072001","renal system development","34/1031","331/21306",3.10600049731301e-05,0.00192904816600976,0.00155300024865651,"Fgf2/Bmp7/Mef2c/Wfs1/Ace/Bdnf/Stat1/Dchs1/Sox4/Itga3/Cfh/Kank2/Col4a1/Ptk7/Cd44/Dact2/Cys1/Aph1c/Dll1/Hey1/Lgr5/Col4a3/Nid1/Adamts1/Bmp2/Wnt7b/Rarb/Sfrp1/Mpst/Lif/Pgf/Nfia/Sox8/Bmp4",34
"GO:0001655","BP","GO:0001655","urogenital system development","37/1031","374/21306",3.21631293968142e-05,0.00197405936544917,0.00158923698196023,"Fgf2/Bmp7/Mef2c/Wfs1/Ace/Bdnf/Stat1/Dchs1/Rarg/Sox4/Itga3/Cfh/Rxra/Kank2/Col4a1/Ptk7/Cd44/Dact2/Cys1/Aph1c/Dll1/Hey1/Lgr5/Col4a3/Nid1/Adamts1/Bmp2/Wnt7b/Rarb/Sfrp1/Mpst/Lif/Pgf/Anxa1/Nfia/Sox8/Bmp4",37
"GO:0048863","BP","GO:0048863","stem cell differentiation","27/1031","237/21306",3.36841820358125e-05,0.00204337648466086,0.00164504144826061,"Fgf2/Bmp7/Kitl/Ncoa3/Mef2c/Stat3/A2m/Sema4g/Bche/Rbm24/Etv4/Anxa6/Sema5b/Epop/Sema6c/Sema3d/Frzb/Wnt7b/Sfrp1/Lif/Eif2ak2/Sox6/Sox8/Bmp4/Runx2/Sema6a/Sox2",27
"GO:0001935","BP","GO:0001935","endothelial cell proliferation","20/1031","149/21306",3.448440744118e-05,0.00206787532897283,0.00166476449716041,"Fgf2/Mef2c/Stat1/Stat3/Vash2/F3/Cnmd/Hmox1/Apoh/Jcad/Col4a3/Bmp2/Loxl2/Nr4a1/Gja1/Pgf/Ccl2/Bmp4/Apoe/Epha2",20
"GO:0007517","BP","GO:0007517","muscle organ development","40/1031","419/21306",3.53336028866551e-05,0.00208528505831168,0.00167878038046944,"Fgf2/Atf3/Mkx/Adrb1/Mef2c/Myh14/Cacna1s/Bdnf/Asb2/Rxra/Emd/Acta1/Rbm24/Cryab/Nupr1/Tll2/Zfhx3/Disp1/Fzd2/Erbb3/Rcan1/Egr2/Pim1/Dll1/Hey1/Maff/Bmp2/Mettl21c/Klhl41/Lif/Nr4a1/Gja1/Sox6/Mapk11/Sox8/Bmp4/Myoz1/Foxh1/Megf10/Pmp22",40
"GO:0007411","BP","GO:0007411","axon guidance","28/1031","251/21306",3.55741556813762e-05,0.00208528505831168,0.00167878038046944,"Slit3/Bmp7/Bdnf/Gfra3/Gap43/Unc5b/Alcam/Sema4g/Etv4/L1cam/Sema5b/Epha8/Ntrk1/Slit1/Plxnb2/Klf7/Sema6c/Egr2/Dscam/Sema3d/Epha3/Wnt7b/Prtg/Ntn3/Zswim6/Sema6a/Tubb3/Epha2",28
"GO:0048593","BP","GO:0048593","camera-type eye morphogenesis","20/1031","150/21306",3.80129663988375e-05,0.00220348495225261,0.00177393843194575,"Nrl/Bmp7/Aldh1a1/Tsku/Cfh/Grk1/Sdk2/Bhlhe22/Dll1/Dscam/Rp1/Shroom2/Rs1/Thy1/Fzd5/Rpe65/Sox8/Bmp4/Epha2/Sox2",20
"GO:0045778","BP","GO:0045778","positive regulation of ossification","16/1031","104/21306",3.87635060764206e-05,0.00222229902418336,0.0017890848958348,"Fgf2/Bmp7/Mef2c/Pkdcc/Cebpb/Cnmd/Gpm6b/Ddr2/Hey1/Cebpd/Ccn1/Bmp2/Wnt7b/Bmp4/Runx2/Fzd9",16
"GO:0001890","BP","GO:0001890","placenta development","22/1031","175/21306",3.99549018809053e-05,0.00226570351209438,0.00182402812934568,"Bmp7/Ncoa3/Dlx3/Spint2/Rxra/Vash2/Plcd1/Cebpb/Plcd3/Cdh1/Socs3/Htra1/Hey1/Ccn1/Adm/Gab1/Ptgs2/Wnt7b/Lif/Fzd5/Ptgis/Zfp36l1",22
"GO:0002792","BP","GO:0002792","negative regulation of peptide secretion","17/1031","116/21306",4.25814328373629e-05,0.00238868102271529,0.00192303245071961,"Midn/Drd4/Pfkl/Kalrn/Il33/Idh2/Rab11fip1/Klf7/Hadh/Rhbdf2/Nos1/Sfrp1/Inhbb/Cd74/Anxa1/Apoe/Anxa5",17
"GO:0008544","BP","GO:0008544","epidermis development","32/1031","309/21306",4.48734046526511e-05,0.00249047395822213,0.00200498191001207,"Plod1/Grhl1/Triobp/Ncoa3/Mafg/Mycn/Igfbp5/Ush2a/Lncpint/Etv4/Dbi/Psen2/Trps1/Klf7/Nab1/Inhba/Dll1/Hey1/Lgr5/Maff/Zfp36/Gab1/Mycl/Ptgs2/Nab2/Kazn/Wnt16/Anxa1/Bmp4/Zfp36l1/Slc9a3r1/Epha2",32
"GO:0007602","BP","GO:0007602","phototransduction","8/1031","29/21306",5.05510984077559e-05,0.00277605347782381,0.00223489066644815,"Cngb1/Guca1b/Grk1/Gnat1/Rho/Gnb1/Rs1/Rcvrn",8
"GO:0007603","BP","GO:0007603","phototransduction, visible light","5/1031","10/21306",5.40036347090186e-05,0.00293476002371823,0.00236265901851956,"Grk1/Gnat1/Rho/Gnb1/Rs1",5
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","37/1031","384/21306",5.64077254402225e-05,0.00303380519197568,0.00244239635926737,"Fgf2/Bmp7/Csmd1/Ncoa3/Mef2c/Mycn/Csf1/Etv5/Spint2/Dchs1/Rarg/Sox4/Ccm2/Lmo4/Etv4/Col4a1/Ptk7/Plxnb2/Cd44/Fzd2/Cxcl10/Dll1/Hey1/Lgr5/Adm/Sall4/Mmp14/Bmp2/Sfrp1/Tead1/Gja1/Pgf/Sox8/Bmp4/Foxh1/Epha2/Sox2",37
"GO:0002483","BP","GO:0002483","antigen processing and presentation of endogenous peptide antigen","9/1031","38/21306",6.42746634564683e-05,0.00338707999244843,0.00272680390421381,"H2-Q6/H2-Q4/H2-D1/H2-K1/B2m/H2-Q7/Hfe/Tap1/H2-M5",9
"GO:0019885","BP","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","9/1031","38/21306",6.42746634564683e-05,0.00338707999244843,0.00272680390421381,"H2-Q6/H2-Q4/H2-D1/H2-K1/B2m/H2-Q7/Hfe/Tap1/H2-M5",9
"GO:0001958","BP","GO:0001958","endochondral ossification","8/1031","30/21306",6.60246560289456e-05,0.00340927515493124,0.00274467235014591,"Alpl/Mef2c/Csgalnact1/Nab1/Mmp14/Nab2/Bmp4/Runx2",8
"GO:0036075","BP","GO:0036075","replacement ossification","8/1031","30/21306",6.60246560289456e-05,0.00340927515493124,0.00274467235014591,"Alpl/Mef2c/Csgalnact1/Nab1/Mmp14/Nab2/Bmp4/Runx2",8
"GO:0006825","BP","GO:0006825","copper ion transport","6/1031","16/21306",6.66563285035434e-05,0.00340927515493124,0.00274467235014591,"Steap2/Mmgt2/Atp7b/Steap4/Steap3/Cp",6
"GO:0002088","BP","GO:0002088","lens development in camera-type eye","14/1031","87/21306",7.03971095888691e-05,0.00356564777403039,0.00287056175022573,"Fgf2/Nf2/Spred2/Cryab/Spred3/Maf/Vim/Shroom2/Crybb2/Gja1/Bmp4/Crygs/Epha2/Sox2",14
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","36/1031","376/21306",8.04797037777143e-05,0.00403714052508015,0.00325014188333077,"Fgf2/Pde4d/Cacna1g/Adrb1/Cnga1/Gstm7/Adra1a/Nol3/Plcd1/Synpo/Dbi/Drd1/Jak3/Nmur2/Gpr3/Ccr9/Fzd2/Cxcl10/Adm/Nos1/Gnb1/Mettl21c/Npy1r/Trpc7/Thy1/Ackr4/Gja1/Lpar6/Bmp4/Ackr3/Atp1a2/Jsrp1/F2rl3/Gpr157/Tgm2/Fzd9",36
"GO:0050807","BP","GO:0050807","regulation of synapse organization","29/1031","277/21306",8.26905395986008e-05,0.00407557052330996,0.00328108035229094,"Lrrc4b/Flrt1/Mef2c/Dbn1/Igsf9/Bdnf/Etv5/Nlgn2/Gap43/Ncan/Mdga1/Kalrn/Nlgn1/Ngef/Arc/Rims4/Ntrk1/Tpbg/Neurod2/Abhd17c/C1ql3/Pcdh8/Slc7a11/Xlr3b/Dgkb/Lrrtm1/Shisa6/Fzd9/Apoe",29
"GO:0001936","BP","GO:0001936","regulation of endothelial cell proliferation","18/1031","134/21306",8.28082184149618e-05,0.00407557052330996,0.00328108035229094,"Fgf2/Mef2c/Stat1/Stat3/Vash2/F3/Cnmd/Hmox1/Apoh/Jcad/Col4a3/Bmp2/Nr4a1/Gja1/Pgf/Ccl2/Bmp4/Apoe",18
"GO:0046890","BP","GO:0046890","regulation of lipid biosynthetic process","22/1031","184/21306",8.55486346366845e-05,0.00414436580907774,0.00333646471116092,"Ldlr/Stard4/Sik1/Sec14l2/Dhh/Insig1/H6pd/Dbi/Zbtb20/Igfbp7/Ccn1/Bmp2/Malrd1/Ptgs2/Thrsp/Cd74/Asxl3/Tspo/Avil/Anxa1/Acsl5/Apoe",22
"GO:0045926","BP","GO:0045926","negative regulation of growth","28/1031","264/21306",8.69852440555879e-05,0.00414436580907774,0.00333646471116092,"Slit3/Adrb1/Nf2/Igfbp5/Socs2/Sema4g/Gng4/Cryab/Tll2/Sema5b/Serpine2/Slit1/Sertad1/Osgin1/Stc2/Inhba/Sema6c/Sema3d/Fstl4/Frzb/Cth/Sfrp1/Gja1/Mapk11/Bmp4/Myoz1/Sema6a/Wwc1",28
"GO:0060042","BP","GO:0060042","retina morphogenesis in camera-type eye","13/1031","78/21306",8.73835995780241e-05,0.00414436580907774,0.00333646471116092,"Nrl/Cfh/Grk1/Sdk2/Bhlhe22/Dll1/Dscam/Rp1/Rs1/Thy1/Rpe65/Sox8/Sox2",13
"GO:0070373","BP","GO:0070373","negative regulation of ERK1 and ERK2 cascade","13/1031","78/21306",8.73835995780241e-05,0.00414436580907774,0.00333646471116092,"Atf3/Spry4/Dusp3/Ptprr/Spred2/Dusp4/Timp3/Spred3/Dusp6/Ezr/Lif/Slc9a3r1/Sema6a",13
"GO:0007612","BP","GO:0007612","learning","21/1031","172/21306",9.09024630215037e-05,0.00420004118768174,0.00338128675259025,"Csmd1/Jph4/Drd4/Bdnf/Ndrg4/Map1a/Kalrn/Grm7/Cacna1e/Bche/Synpo/Drd1/Ppp1r1b/Neurod2/Asic1/Slc7a11/Ptgs2/Dbh/Atp1a2/Gabra5/Htr6",21
"GO:0043409","BP","GO:0043409","negative regulation of MAPK cascade","21/1031","172/21306",9.09024630215037e-05,0.00420004118768174,0.00338128675259025,"Atf3/Spry4/Bmp7/Dusp3/Per1/Nf2/Ptprr/Spred2/Foxo1/Dusp4/Timp3/Spred3/Dusp6/Marveld3/Ezr/Sfrp1/Lif/Bmp4/Slc9a3r1/Sema6a/Apoe",21
"GO:0045444","BP","GO:0045444","fat cell differentiation","27/1031","251/21306",9.09727150101661e-05,0.00420004118768174,0.00338128675259025,"Bmp7/Adrb1/Scd1/Noct/Insig1/Cebpb/Foxo1/Bnip3/Nr4a2/Zbtb7c/Egr2/Pim1/Glis1/Cebpd/Medag/Sh3pxd2b/Zfp36/Steap4/Frzb/Bmp2/Ptgs2/Sfrp1/Inhbb/Nr4a1/Creb5/Sox8/Zfp36l1",27
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","40/1031","439/21306",9.86207903623927e-05,0.00448222020573375,0.00360845789995816,"Fgf2/Mef2c/Tgfa/Stat1/Igfbp5/Stat3/Vash2/Cebpb/Nupr1/F3/Cnmd/Etv4/B2m/Igfbp4/Hmox1/Cdh1/Apoh/Jcad/Marveld3/Htra1/Hey1/Lgr5/Col4a3/Zfp36/Bmp2/Sfrp1/Loxl2/Cdc25a/Tcf19/Wnt16/Nr4a1/Gja1/Pgf/Ccnd2/Ccl2/Bmp4/Zfp36l1/Apoe/Epha2/Sox2",40
"GO:0034755","BP","GO:0034755","iron ion transmembrane transport","6/1031","17/21306",9.88030139274259e-05,0.00448222020573375,0.00360845789995816,"Steap2/Steap4/Nos1/Steap3/Hfe/Slc40a1",6
"GO:0046888","BP","GO:0046888","negative regulation of hormone secretion","14/1031","90/21306",0.000102825497795309,0.00462448812067349,0.00372299216155428,"Midn/Pfkl/Kalrn/Rab11fip1/Klf7/Hadh/Nos1/Sfrp1/Inhbb/Lif/Npy1r/Npvf/Gja1/Anxa5",14
