"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903531","GO:1903531","negative regulation of secretion by cell","15/509","193/21306",6.57784048327315e-05,0.00330946045015992,0.00254389157087079,"Klf7/Anxa5/Hadh/Npvf/Grm7/Tnfrsf1a/Apoe/Gja1/Sfrp1/Rab11fip1/Hmox1/Lif/Kalrn/Anxa1/Il33",15
"GO:0051607","GO:0051607","defense response to virus","17/509","239/21306",6.68768821125974e-05,0.00330946045015992,0.00254389157087079,"Stat1/Ddx58/Cxcl10/Oasl2/Zc3hav1/Apobec1/Pycard/Htra1/Ifitm3/Tlr3/Irf1/Trim25/Parp9/H2-Q7/Eif2ak2/Il33/Ifit1",17
"GO:0042596","GO:0042596","fear response","8/509","58/21306",6.74126615475632e-05,0.00330946045015992,0.00254389157087079,"Dbi/Atp1a2/Grm7/Apoe/Gabra5/Gja1/Mef2c/Kalrn",8
"GO:0042063","GO:0042063","gliogenesis","21/509","337/21306",6.76796829191711e-05,0.00330946045015992,0.00254389157087079,"Dbi/Vim/Bmp2/Fgf2/Csf1/Gpr157/Egr2/Gpr183/Ldlr/Trf/Lif/Nf2/Efemp1/Pmp22/Ccl2/Stat3/Enpp2/Tspo/Gap43/Anxa1/Il33",21
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process","27/509","497/21306",7.09109597933053e-05,0.00339541578603754,0.00260996308243694,"Mogat1/Bmp2/Slco4a1/Fgf2/Slc7a11/Rpe65/Tyrp1/Dhcr24/Dhrs3/H6pd/Insig1/Apoe/Oca2/Tyr/Crym/Slc16a10/Pmel/Msmo1/Ephx2/Dct/Ldlr/Rbp1/Pmp22/Sqle/Stard4/Aldh1a1/Asah2",27
"GO:0019218","GO:0019218","regulation of steroid metabolic process","11/509","111/21306",7.14776975858258e-05,0.00339541578603754,0.00260996308243694,"Bmp2/H6pd/Insig1/Igfbp7/Apoe/Ephx2/Ldlr/Tspo/Dhh/Stard4/Scd1",11
"GO:0019216","GO:0019216","regulation of lipid metabolic process","22/509","364/21306",7.17780910651318e-05,0.00339541578603754,0.00260996308243694,"Dbi/Ptgs2/Bmp2/Fgf2/Ccn1/H6pd/Insig1/Igfbp7/Apobec1/Apoe/Ephx2/Ldlr/Pik3r5/Apoh/Tspo/Dhh/Zbtb20/Stard4/Cd74/Anxa1/Scd1/Acsl5",22
"GO:0001763","GO:0001763","morphogenesis of a branching structure","17/509","241/21306",7.41285580244368e-05,0.00346889768303601,0.00266644660330119,"Fzd5/Rxra/Cd44/Bmp2/Tgm2/Ncoa3/Sox2/Fgf2/Csf1/Epha2/Spint2/Adm/Col4a1/Sfrp1/Cdh1/Mmp14/Socs3",17
"GO:2000146","GO:2000146","negative regulation of cell motility","19/509","291/21306",8.06944527562419e-05,0.00370729266462661,0.002849694293775,"Igfbp5/Fgf2/Nbl1/Adamts9/Mitf/Apoe/Spint2/Gja1/Cnn2/Dcn/Sfrp1/Cdh1/Dnaja4/Stat3/Apoh/Slc9a3r1/Mef2c/Cd74/Il33",19
"GO:0050727","GO:0050727","regulation of inflammatory response","22/509","367/21306",8.09266551331636e-05,0.00370729266462661,0.002849694293775,"Ptgs2/Cd44/Tgm2/Ptgis/Cebpb/Ctss/Aldh2/Tnfrsf1a/Apoe/Zfp36/Nupr1/Pycard/Slc7a2/Tlr3/Ldlr/Uaca/Pmp22/Stat3/Socs3/Ier3/Anxa1/Il33",22
"GO:0060711","GO:0060711","labyrinthine layer development","8/509","60/21306",8.63080172426714e-05,0.00384728491892594,0.00295730250395381,"Fzd5/Ncoa3/Ccn1/Spint2/Adm/Socs3/Zfp36l1/Wnt7b",8
"GO:0014013","GO:0014013","regulation of gliogenesis","13/509","154/21306",8.66346328250786e-05,0.00384728491892594,0.00295730250395381,"Vim/Bmp2/Csf1/Egr2/Gpr183/Ldlr/Trf/Lif/Nf2/Efemp1/Pmp22/Enpp2/Tspo",13
"GO:0022612","GO:0022612","gland morphogenesis","13/509","154/21306",8.66346328250786e-05,0.00384728491892594,0.00295730250395381,"Igfbp5/Rxra/Cd44/Tgm2/Ncoa3/Cebpb/Csf1/Epha2/Tgfa/Sfrp1/Cdh1/Slc9a3r1/Rarg",13
"GO:0001937","GO:0001937","negative regulation of endothelial cell proliferation","7/509","45/21306",8.80813600816997e-05,0.0038720210007632,0.00297631645230879,"Stat1/Col4a3/Apoe/Gja1/Cnmd/Apoh/Mef2c",7
"GO:0052548","GO:0052548","regulation of endopeptidase activity","21/509","345/21306",9.43224564075628e-05,0.00402046251101309,0.00309041937403241,"Stat1/Col4a3/Ptgs2/Serping1/Cd44/Sox2/F3/Ccn1/Dhcr24/Pycard/Map3k5/Ccn2/Timp3/Nol3/Cdh1/Cryab/Uaca/Stat3/Spock1/Serpina3f/Serpina3n",21
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","20/509","320/21306",9.62880450378027e-05,0.00402046251101309,0.00309041937403241,"Ddr2/Cd44/Ntrk1/Tgfa/Tnfrsf1a/Kitl/Sfrp1/Jak3/Adra1a/Icam1/Lif/Nf2/Efemp1/Irf1/Socs3/Enpp2/Parp14/Parp9/Pkdcc/Cd74",20
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","6/509","32/21306",9.64381537802614e-05,0.00402046251101309,0.00309041937403241,"B2m/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7",6
"GO:0007611","GO:0007611","learning or memory","19/509","295/21306",9.66153172530703e-05,0.00402046251101309,0.00309041937403241,"Dbi/Ptgs2/Atp1a2/B2m/Slc7a11/Mme/Ntrk1/Fzd9/Grm7/Ccnd2/Apoe/Gabra5/Ldlr/Itga3/Ppp1r1b/Mef2c/Arc/Kalrn/Rcan1",19
"GO:0060350","GO:0060350","endochondral bone morphogenesis","8/509","61/21306",9.72856852146136e-05,0.00402046251101309,0.00309041937403241,"Alpl/Csgalnact1/Rarb/Mmp14/Anxa6/Mef2c/Rarg/Runx2",8
"GO:0051048","GO:0051048","negative regulation of secretion","16/509","223/21306",9.82592783208726e-05,0.00402046251101309,0.00309041937403241,"Klf7/Anxa5/Hadh/Npvf/Grm7/Tnfrsf1a/Apoe/Gja1/Sfrp1/Rab11fip1/Hmox1/Lif/Kalrn/Cd74/Anxa1/Il33",16
"GO:0001776","GO:0001776","leukocyte homeostasis","11/509","115/21306",9.86644041953919e-05,0.00402046251101309,0.00309041937403241,"Cfh/Cd44/Slc7a11/Axl/Kitl/Jak3/Gpr183/Ccl2/Mef2c/Cd74/Anxa1",11
"GO:0043588","GO:0043588","skin development","18/509","271/21306",9.94504775496453e-05,0.00402046251101309,0.00309041937403241,"Igfbp5/Dbi/Ptgs2/Ncoa3/Dhcr24/Epha2/Wnt16/Lncpint/Zfp36/Lgr5/Itga3/Inhba/Grhl1/Zfp36l1/Trps1/Dact2/Anxa1/Scd1",18
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","9/509","78/21306",9.97725071666851e-05,0.00402046251101309,0.00309041937403241,"Atf3/Bag3/Tnfrsf22/Timp3/Sfrp1/Hmox1/Nol3/Icam1/Trps1",9
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","20/509","323/21306",0.000109278388722749,0.00436311511671014,0.00335380704356251,"Ddr2/Cd44/Ntrk1/Tgfa/Tnfrsf1a/Kitl/Sfrp1/Jak3/Adra1a/Icam1/Lif/Nf2/Efemp1/Irf1/Socs3/Enpp2/Parp14/Parp9/Pkdcc/Cd74",20
"GO:0090050","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","5/509","21/21306",0.000113099791697161,0.0044746390315095,0.00343953242118257,"Ptgs2/Fgf2/Hmox1/Rhoj/Anxa1",5
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","16/509","226/21306",0.000114847012369759,0.00450283061110985,0.00346120251598953,"Bmp2/Fgf2/Slc7a11/Tyrp1/Dhcr24/H6pd/Insig1/Apoe/Oca2/Tyr/Pmel/Msmo1/Dct/Sqle/Stard4/Asah2",16
"GO:0031348","GO:0031348","negative regulation of defense response","16/509","227/21306",0.000120895506587479,0.00469027875977436,0.00360528877190473,"Nmi/Serping1/Cd44/Ptgis/A2m/Tnfrsf1a/Apoe/Zfp36/Pycard/Htra1/Ldlr/Uaca/Socs3/Parp14/Tap1/Ier3",16
"GO:0045444","GO:0045444","fat cell differentiation","17/509","251/21306",0.00012178343287098,0.00469027875977436,0.00360528877190473,"Ptgs2/Frzb/Bmp2/Cebpb/Foxo1/Glis1/Steap4/Insig1/Creb5/Zfp36/Egr2/Sfrp1/Zfp36l1/Cebpd/Pim1/Zbtb7c/Scd1",17
"GO:0006534","GO:0006534","cysteine metabolic process","4/509","12/21306",0.000136809539421131,0.00515685584335643,0.00396393379213108,"Slc7a11/Cth/Tst/Mpst",4
"GO:0030336","GO:0030336","negative regulation of cell migration","18/509","278/21306",0.000137072957889351,0.00515685584335643,0.00396393379213108,"Igfbp5/Fgf2/Nbl1/Adamts9/Mitf/Apoe/Gja1/Cnn2/Dcn/Sfrp1/Cdh1/Dnaja4/Stat3/Apoh/Slc9a3r1/Mef2c/Cd74/Il33",18
"GO:0033032","GO:0033032","regulation of myeloid cell apoptotic process","6/509","34/21306",0.000137452959060052,0.00515685584335643,0.00396393379213108,"Cd44/Slc7a11/Kitl/Apoh/Mef2c/Anxa1",6
"GO:0043473","GO:0043473","pigmentation","10/509","100/21306",0.00014031199361417,0.00517489657804124,0.00397780121057833,"Mlph/Tyrp1/Adamts9/Mitf/Oca2/Tyr/Kitl/Pmel/Dct/Mef2c",10
"GO:0046889","GO:0046889","positive regulation of lipid biosynthetic process","10/509","100/21306",0.00014031199361417,0.00517489657804124,0.00397780121057833,"Dbi/Ptgs2/Ccn1/Apoe/Ldlr/Zbtb20/Stard4/Cd74/Anxa1/Acsl5",10
"GO:0051770","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","5/509","22/21306",0.000143504049002274,0.00524814807779744,0.00403410763139519,"Stat1/Akap12/Jak3/Ccl2/Il33",5
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","15/509","208/21306",0.000152102215526117,0.00551624034974717,0.0042401828152807,"Stat1/Col4a3/Ptgs2/Cd44/Sox2/F3/Ccn1/Dhcr24/Pycard/Map3k5/Ccn2/Nol3/Cdh1/Cryab/Uaca",15
"GO:0030099","GO:0030099","myeloid cell differentiation","23/509","411/21306",0.000156387889316601,0.00562479416781694,0.00432362516092353,"Stat1/B2m/Cebpb/Gpr171/Csf1/Epha2/Mitf/Zfp36/Kitl/Sfrp1/Jak3/Gpr183/Tmod3/Rbp1/Trf/Lif/Stat3/Inhba/Mef2c/Zfp36l1/Rarg/Cd74/Exoc6",23
"GO:0051224","GO:0051224","negative regulation of protein transport","13/509","164/21306",0.000163467453346171,0.00579326989894606,0.00445312783931177,"Klf7/Anxa5/Hadh/Insig1/Apoe/Bag3/Sfrp1/Rab11fip1/Nol3/Siah3/Pkdcc/Anxa1/Il33",13
"GO:0070838","GO:0070838","divalent metal ion transport","25/509","467/21306",0.000163734420397602,0.00579326989894606,0.00445312783931177,"Mettl21c/Slc39a10/Dbi/Ptgs2/Atp1a2/Cacna1b/Fgf2/Mcub/Wfs1/Cxcl10/Ccn2/Gja1/Jak3/F2rl3/Nol3/Adra1a/Icam1/Anxa6/Nmur2/Mmgt2/Kcnj2/Trpc7/Nipal2/Tspo/Ahnak",25
"GO:0010721","GO:0010721","negative regulation of cell development","22/509","386/21306",0.000167059219028889,0.00583446142914973,0.00448479063995691,"Ngef/Vim/Frzb/B2m/Sox2/Nbn/Shb/Sema3d/Rflna/Apoe/Prag1/Ldlr/Efemp1/Pmp22/Stat3/S1pr3/Spock1/Tspo/Wnt7b/Sema5b/H2-K1/H2-D1",22
"GO:0016525","GO:0016525","negative regulation of angiogenesis","11/509","122/21306",0.000167579889394236,0.00583446142914973,0.00448479063995691,"Stat1/Col4a3/Epha2/Cxcl10/Adamts9/Dcn/Cnmd/Lif/Ccl2/Apoh/Adamts1",11
"GO:0060349","GO:0060349","bone morphogenesis","10/509","103/21306",0.000179440956622807,0.00614133285910181,0.00472067430007391,"Alpl/Dhrs3/Insig1/Csgalnact1/Rarb/Mmp14/Anxa6/Mef2c/Rarg/Runx2",10
"GO:0010632","GO:0010632","regulation of epithelial cell migration","16/509","235/21306",0.000180166340496313,0.00614133285910181,0.00472067430007391,"Ptgs2/Fgf2/Epha2/Adamts9/Apoe/Dcn/Hmox1/Dnaja4/Itga3/Apoh/Mef2c/Arsb/Rhoj/Enpp2/Ccbe1/Anxa1",16
"GO:0072511","GO:0072511","divalent inorganic cation transport","25/509","470/21306",0.000180627437032406,0.00614133285910181,0.00472067430007391,"Mettl21c/Slc39a10/Dbi/Ptgs2/Atp1a2/Cacna1b/Fgf2/Mcub/Wfs1/Cxcl10/Ccn2/Gja1/Jak3/F2rl3/Nol3/Adra1a/Icam1/Anxa6/Nmur2/Mmgt2/Kcnj2/Trpc7/Nipal2/Tspo/Ahnak",25
"GO:0010594","GO:0010594","regulation of endothelial cell migration","13/509","166/21306",0.000184407658007081,0.00621713421170319,0.00477894072290846,"Ptgs2/Fgf2/Epha2/Adamts9/Apoe/Dcn/Hmox1/Dnaja4/Apoh/Mef2c/Rhoj/Ccbe1/Anxa1",13
"GO:0009615","GO:0009615","response to virus","18/509","285/21306",0.000186658947763303,0.00621713421170319,0.00477894072290846,"Stat1/Ddx58/Cxcl10/Oasl2/Zc3hav1/Apobec1/Bcl3/Pycard/Htra1/Ifitm3/Tlr3/Irf1/Trim25/Parp9/H2-Q7/Eif2ak2/Il33/Ifit1",18
"GO:0033002","GO:0033002","muscle cell proliferation","16/509","236/21306",0.000189111463968448,0.00621713421170319,0.00477894072290846,"Stat1/Igfbp5/Ptgs2/Rxra/Tgm2/Fgf2/Map3k5/Gja1/Hmox1/Nol3/Stat3/Mef2c/Kalrn/Adamts1/Pim1/Megf10",16
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","6/509","36/21306",0.000191185639461635,0.00621713421170319,0.00477894072290846,"B2m/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7",6
"GO:0060670","GO:0060670","branching involved in labyrinthine layer morphogenesis","4/509","13/21306",0.000193889313562403,0.00621713421170319,0.00477894072290846,"Fzd5/Spint2/Adm/Socs3",4
"GO:0071281","GO:0071281","cellular response to iron ion","4/509","13/21306",0.000193889313562403,0.00621713421170319,0.00477894072290846,"B2m/Hmox1/Trf/Hfe",4
"GO:0002718","GO:0002718","regulation of cytokine production involved in immune response","9/509","85/21306",0.000194413511257559,0.00621713421170319,0.00477894072290846,"Arid5a/Fzd5/B2m/Ddx58/Tlr3/Jak3/Hmox1/Hfe/Cd74",9
"GO:0045834","GO:0045834","positive regulation of lipid metabolic process","13/509","167/21306",0.000195714013557752,0.00621713421170319,0.00477894072290846,"Dbi/Ptgs2/Fgf2/Ccn1/Apoe/Ldlr/Apoh/Zbtb20/Stard4/Cd74/Anxa1/Scd1/Acsl5",13
"GO:0098739","GO:0098739","import across plasma membrane","13/509","167/21306",0.000195714013557752,0.00621713421170319,0.00477894072290846,"Slc39a10/Kcnj13/Atp1a2/Slc7a11/Slc7a2/Slc7a8/Atp1b3/Slc47a1/Kcnj2/Slc9a3r1/Hfe/Slc1a1/Acsl5",13
"GO:0048863","GO:0048863","stem cell differentiation","16/509","237/21306",0.000198440216895436,0.00625805669513723,0.0048103967146735,"Frzb/Ncoa3/Sox2/Fgf2/Sema3d/A2m/Kitl/Sfrp1/Lif/Anxa6/Stat3/Mef2c/Wnt7b/Sema5b/Runx2/Eif2ak2",16
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","14/509","191/21306",0.000211460285365097,0.00660947601856017,0.00508052311991685,"Arid5a/Fzd5/B2m/Jak3/Irf1/Hfe/Mef2c/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Anxa1/Il33",14
"GO:0032606","GO:0032606","type I interferon production","9/509","86/21306",0.000212621011626476,0.00660947601856017,0.00508052311991685,"Stat1/Nmi/Ddx58/Zc3hav1/Pycard/Tlr3/Irf9/Irf1/Zbtb20",9
"GO:0045667","GO:0045667","regulation of osteoblast differentiation","12/509","147/21306",0.000220112663175382,0.00674621877877717,0.0051856335330287,"Igfbp5/Ddr2/Bmp2/Cebpb/Sox2/Fgf2/Ccn1/Sfrp1/Mef2c/Wnt7b/Cebpd/Runx2",12
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization","13/509","169/21306",0.000220120189932527,0.00674621877877717,0.0051856335330287,"Klf7/Anxa5/Hadh/Insig1/Apoe/Bag3/Sfrp1/Rab11fip1/Nol3/Siah3/Pkdcc/Anxa1/Il33",13
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis","11/509","126/21306",0.000222784251411478,0.00678011931568358,0.00521169194689493,"Stat1/Col4a3/Epha2/Cxcl10/Adamts9/Dcn/Cnmd/Lif/Ccl2/Apoh/Adamts1",11
"GO:0060760","GO:0060760","positive regulation of response to cytokine stimulus","7/509","52/21306",0.000224862448956417,0.00679584290179392,0.00522377823672143,"Csf1/Ddx58/Axl/Irgm1/Parp14/Parp9/Cd74",7
"GO:0000041","GO:0000041","transition metal ion transport","10/509","106/21306",0.00022736562085047,0.00682210842875875,0.00524396782764012,"Slc39a10/Steap3/B2m/Cp/Steap2/Steap4/Trf/Mmgt2/Hfe/Trpc7",10
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","16/509","240/21306",0.000228866689016263,0.00682210842875875,0.00524396782764012,"Prex2/Ngef/F11r/Ntrk1/Csf1/Fgd5/Apoe/Kitl/Prag1/F2rl3/Spata13/Adra1a/Lpar6/Itga3/Arhgef28/Kalrn",16
"GO:0032677","GO:0032677","regulation of interleukin-8 production","8/509","69/21306",0.000233838478988287,0.00689426301927317,0.00529943108437745,"F3/Ddx58/Bcl3/Pycard/Tlr3/Stat3/Cd74/Anxa1",8
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","12/509","148/21306",0.000234455635765723,0.00689426301927317,0.00529943108437745,"Stat1/Col4a3/B2m/Sox2/Apoe/Nupr1/Gja1/Sfrp1/Cdh1/Cnmd/Apoh/Mef2c",12
"GO:0002443","GO:0002443","leukocyte mediated immunity","24/509","451/21306",0.000240316607277731,0.00701918036827304,0.00539545162789564,"Arid5a/Fzd5/Cr2/Serping1/B2m/Cfi/Nbn/Ddx58/Bcl3/Gzmm/Tlr3/Jak3/Hmox1/Icam1/Ccl2/Hfe/H2-K1/Tap1/C4b/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74",24
"GO:0002699","GO:0002699","positive regulation of immune effector process","17/509","266/21306",0.00024319380982086,0.00705586306893589,0.00542364861481189,"Arid5a/Fzd5/B2m/Ddx58/Shb/Zc3hav1/Hmox1/Irf1/Ccl2/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74/Anxa1/Il33",17
"GO:0010596","GO:0010596","negative regulation of endothelial cell migration","7/509","53/21306",0.000253815115536493,0.00726712751851855,0.00558604180869097,"Fgf2/Adamts9/Apoe/Dcn/Dnaja4/Apoh/Mef2c",7
"GO:0032648","GO:0032648","regulation of interferon-beta production","7/509","53/21306",0.000253815115536493,0.00726712751851855,0.00558604180869097,"Nmi/Ddx58/Zc3hav1/Pycard/Tlr3/Irf1/Zbtb20",7
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","8/509","70/21306",0.000258577030192055,0.00735507996990733,0.00565364844823082,"Arid5a/Fzd5/B2m/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7",8
"GO:0042532","GO:0042532","negative regulation of tyrosine phosphorylation of STAT protein","4/509","14/21306",0.000266333151833357,0.00752650569336862,0.00578541870489684,"Nf2/Irf1/Socs3/Parp14",4
"GO:0002456","GO:0002456","T cell mediated immunity","11/509","129/21306",0.000273649956242813,0.00768338457786273,0.00590600720502316,"Arid5a/Fzd5/B2m/Gzmm/Icam1/Hfe/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7",11
"GO:0014009","GO:0014009","glial cell proliferation","7/509","54/21306",0.000285692697337478,0.00786920644818168,0.00604884338533315,"Dbi/Vim/Csf1/Nf2/Pmp22/Tspo/Il33",7
"GO:1904705","GO:1904705","regulation of vascular associated smooth muscle cell proliferation","7/509","54/21306",0.000285692697337478,0.00786920644818168,0.00604884338533315,"Igfbp5/Fgf2/Map3k5/Gja1/Hmox1/Mef2c/Adamts1",7
"GO:1990874","GO:1990874","vascular associated smooth muscle cell proliferation","7/509","54/21306",0.000285692697337478,0.00786920644818168,0.00604884338533315,"Igfbp5/Fgf2/Map3k5/Gja1/Hmox1/Mef2c/Adamts1",7
"GO:0046888","GO:0046888","negative regulation of hormone secretion","9/509","90/21306",0.000300230377393521,0.0081205369575913,0.00624203426161599,"Klf7/Anxa5/Hadh/Npvf/Gja1/Sfrp1/Rab11fip1/Lif/Kalrn",9
"GO:0055072","GO:0055072","iron ion homeostasis","9/509","90/21306",0.000300230377393521,0.0081205369575913,0.00624203426161599,"Steap3/B2m/Cp/Bdh2/Steap2/Steap4/Hmox1/Trf/Hfe",9
"GO:0033028","GO:0033028","myeloid cell apoptotic process","6/509","39/21306",0.000301428431913389,0.0081205369575913,0.00624203426161599,"Cd44/Slc7a11/Kitl/Apoh/Mef2c/Anxa1",6
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","17/509","271/21306",0.000302281017263279,0.0081205369575913,0.00624203426161599,"Prex2/Ngef/F11r/Ntrk1/Csf1/Fgd5/Apoe/Kitl/Prag1/F2rl3/Spata13/Adra1a/Lpar6/Cgnl1/Itga3/Arhgef28/Kalrn",17
"GO:0006826","GO:0006826","iron ion transport","7/509","55/21306",0.000320707862976793,0.00851049158338418,0.00654178169794769,"Steap3/B2m/Cp/Steap2/Steap4/Trf/Hfe",7
"GO:0032608","GO:0032608","interferon-beta production","7/509","55/21306",0.000320707862976793,0.00851049158338418,0.00654178169794769,"Nmi/Ddx58/Zc3hav1/Pycard/Tlr3/Irf1/Zbtb20",7
"GO:0072091","GO:0072091","regulation of stem cell proliferation","9/509","91/21306",0.000326261301461866,0.00860538899370934,0.00661472673713436,"Ncoa3/Sox2/Gja1/Kitl/Dct/Nf2/Zfp36l1/Pim1/Eif2ak2",9
"GO:0031100","GO:0031100","animal organ regeneration","5/509","26/21306",0.000331288177106147,0.00868533823352983,0.0066761815272247,"Cebpb/Hmox1/Lif/Apoh/Lifr",5
"GO:0031349","GO:0031349","positive regulation of defense response","17/509","274/21306",0.000343405233756836,0.00894909926532785,0.00687892740547888,"Ptgs2/Tgm2/Cebpb/Ctss/Zc3hav1/Tnfrsf1a/Nupr1/Pycard/Gja1/Tlr3/Ldlr/Irgm1/Stat3/Mef2c/Parp9/Cd74/Il33",17
"GO:0045785","GO:0045785","positive regulation of cell adhesion","23/509","435/21306",0.000352452757130682,0.00913020475614719,0.0070181382340934,"F11r/Cd44/Tgm2/L1cam/Sox2/Csf1/Ccn1/Shb/Pdpn/Pycard/Jak3/Cdh1/Zfhx3/Icam1/Lif/Irf1/Ccl2/Itga3/Nid1/Enpp2/Megf10/Cd74/Anxa1",23
"GO:1902043","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","4/509","15/21306",0.000356347587156637,0.00917647751068451,0.00705370683266142,"Atf3/Timp3/Sfrp1/Trps1",4
"GO:0050878","GO:0050878","regulation of body fluid levels","20/509","354/21306",0.000365370313113196,0.00935348001569781,0.00718976380850611,"Cfh/F11r/Serping1/Anxa5/Slc7a11/F3/Pdpn/Wfs1/Slc4a5/Apoe/Axl/Adm/Gja1/Socs2/F2rl3/Cdh1/Apoh/Grhl1/Kalrn/Scd1",20
"GO:0016485","GO:0016485","protein processing","15/509","227/21306",0.000390782705295341,0.00991406477285291,0.00762066995165599,"Cpxm1/Mme/Ctss/F3/Oma1/Dhcr24/Pycard/Nol3/Cdh1/Mmp14/Aph1b/Aph1c/Apoh/Dhh/Ccbe1",15
"GO:0001780","GO:0001780","neutrophil homeostasis","5/509","27/21306",0.000398658395048083,0.00991406477285291,0.00762066995165599,"Cfh/Cd44/Slc7a11/Axl/Anxa1",5
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","5/509","27/21306",0.000398658395048083,0.00991406477285291,0.00762066995165599,"B2m/Ctss/H2-K1/Tap1/Cd74",5
"GO:0051767","GO:0051767","nitric-oxide synthase biosynthetic process","5/509","27/21306",0.000398658395048083,0.00991406477285291,0.00762066995165599,"Stat1/Akap12/Jak3/Ccl2/Il33",5
"GO:0051769","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","5/509","27/21306",0.000398658395048083,0.00991406477285291,0.00762066995165599,"Stat1/Akap12/Jak3/Ccl2/Il33",5
"GO:0001892","GO:0001892","embryonic placenta development","10/509","114/21306",0.000410137651498086,0.01012648292299,0.00778394996354058,"Fzd5/Ncoa3/Cebpb/Ccn1/Spint2/Adm/Lif/Socs3/Zfp36l1/Wnt7b",10
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","9/509","94/21306",0.000415768833748404,0.01012648292299,0.00778394996354058,"Arid5a/Fzd5/B2m/Hfe/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7",9
"GO:0007260","GO:0007260","tyrosine phosphorylation of STAT protein","8/509","75/21306",0.000416507454782906,0.01012648292299,0.00778394996354058,"Tnfrsf1a/Jak3/Lif/Nf2/Irf1/Socs3/Parp14/Parp9",8
"GO:0032637","GO:0032637","interleukin-8 production","8/509","75/21306",0.000416507454782906,0.01012648292299,0.00778394996354058,"F3/Ddx58/Bcl3/Pycard/Tlr3/Stat3/Cd74/Anxa1",8
"GO:0048592","GO:0048592","eye morphogenesis","13/509","181/21306",0.000428362730959971,0.0103568589174322,0.00796103367830869,"Fzd5/Cfh/Sox2/Fgf2/Rpe65/Epha2/Rarb/Mfrp/Ppp2r3a/Stat3/Sdk2/Rarg/Aldh1a1",13
"GO:0050890","GO:0050890","cognition","19/509","332/21306",0.000434171355904685,0.0104393024358961,0.00802440575205054,"Dbi/Ptgs2/Atp1a2/B2m/Slc7a11/Mme/Ntrk1/Fzd9/Grm7/Ccnd2/Apoe/Gabra5/Ldlr/Itga3/Ppp1r1b/Mef2c/Arc/Kalrn/Rcan1",19
"GO:0019748","GO:0019748","secondary metabolic process","7/509","58/21306",0.000446838904186434,0.010684851159447,0.00821315232796117,"Slc7a11/Bdh2/Tyrp1/Oca2/Tyr/Pmel/Dct",7
"GO:0002792","GO:0002792","negative regulation of peptide secretion","10/509","116/21306",0.000471226709405927,0.0112064406521016,0.00861408387973562,"Klf7/Anxa5/Hadh/Apoe/Sfrp1/Rab11fip1/Kalrn/Cd74/Anxa1/Il33",10
"GO:0032647","GO:0032647","regulation of interferon-alpha production","5/509","28/21306",0.000475871976715824,0.0112554067536264,0.00865172278033689,"Stat1/Nmi/Ddx58/Zc3hav1/Tlr3",5
"GO:0072678","GO:0072678","T cell migration","7/509","59/21306",0.000496708790409664,0.0116847386803398,0.00898173846897247,"F11r/Cxcl10/Pycard/Gpr183/Icam1/Ccl2/Itgb7",7
"GO:1904018","GO:1904018","positive regulation of vasculature development","14/509","208/21306",0.000503468050544483,0.0117800696557505,0.00905501677776099,"Ptgs2/Ptgis/Fgf2/Ntrk1/F3/Cth/Tnfrsf1a/Adm/Tlr3/Hmox1/Stat3/Rhoj/Ccbe1/Anxa1",14
